ParticleFlux,MagnitudeofEnergyFlux,EnergyFluxX,EnergyFluxY,TimeStep
100,4.1621,2.85021,3.03305,1
100,4.39783,2.94803,3.26344,2
100,4.15879,2.68874,3.17273,3
100,4.20825,2.74531,3.18946,4
100,4.32681,2.91789,3.19487,5
100,4.42452,2.83108,3.4002,6
100,3.98965,2.70919,2.92876,7
100,4.54248,3.17223,3.25132,8
100,4.52947,2.91519,3.46668,9
100,4.28818,2.90158,3.15743,10
100,4.41237,3.03262,3.20503,11
100,4.40188,3.01512,3.20712,12
100,4.38005,3.07946,3.11476,13
100,4.52679,3.14888,3.25214,14
100,4.36939,2.8541,3.30842,15
100,4.27484,2.91269,3.12898,16
100,4.62638,3.23207,3.31016,17
100,4.51488,3.00102,3.37313,18
100,4.3339,2.94139,3.18291,19
100,4.43852,3.09409,3.18231,20
100,4.48454,2.97334,3.35714,21
100,4.54224,3.09753,3.32224,22
100,4.56748,3.11146,3.34375,23
100,4.42348,2.94757,3.29833,24
100,4.56454,3.0673,3.38034,25
100,4.6093,3.04458,3.46067,26
100,4.56422,2.9251,3.50369,27
100,4.42302,3.09695,3.15784,28
100,4.69922,3.23045,3.41275,29
100,4.49806,3.07075,3.2868,30
100,4.40637,3.02,3.20868,31
100,4.63394,3.2011,3.35057,32
100,4.58197,2.99253,3.46975,33
100,4.53807,3.21656,3.20122,34
100,4.5397,3.02986,3.38065,35
100,4.3615,2.96935,3.19462,36
100,4.25811,2.99559,3.02621,37
100,4.3867,3.08521,3.11843,38
100,4.51687,2.9555,3.41572,39
100,4.2853,3.1751,2.87795,40
100,4.28038,3.11183,2.93908,41
100,4.25691,2.94504,3.07376,42
100,4.36313,3.13458,3.03501,43
100,4.49266,3.15991,3.19359,44
100,4.28503,3.03299,3.02695,45
100,4.33299,2.9684,3.15648,46
100,4.49269,2.99858,3.34556,47
100,4.36417,3.01461,3.15564,48
100,4.37563,2.97175,3.21168,49
100,4.55247,3.07904,3.35328,50
100,4.48035,3.1344,3.20141,51
100,4.4328,3.01678,3.24789,52
100,4.42635,3.03417,3.22279,53
100,4.42251,3.0518,3.2008,54
100,4.43638,2.92543,3.33517,55
100,4.35565,2.93608,3.21732,56
100,4.29427,2.96864,3.10289,57
100,4.2678,2.77968,3.23844,58
100,4.3359,2.9206,3.20471,59
100,4.19683,2.92851,3.0062,60
100,4.20975,2.76691,3.17273,61
100,4.26857,2.89321,3.13847,62
100,4.25513,2.97738,3.03996,63
100,4.26668,2.82008,3.20183,64
100,4.26661,2.85477,3.17084,65
100,4.41967,3.11434,3.13598,66
100,4.30692,2.83414,3.24302,67
100,4.333,2.9946,3.13166,68
100,4.49125,3.12115,3.22952,69
100,4.25253,2.85916,3.14789,70
99,4.19294,2.84374,3.08122,71
99,4.44867,3.08452,3.20569,72
